id,memberId,donorName,donorEmail,campaignId,amount,currency,paymentMethod,paymentStatus,paystackReference,isAnonymous,isRecurring,recurringFrequency,message,createdAt
e39390f3-3f1b-45aa-9551-90bdad5895bb,f3673764-2d78-4d87-859b-8f6b3c099bab,,,,15000,NGN,paystack,completed,TXN_LVD1DB,false,false,,,"""2025-10-17T22:42:34.957Z"""
0240f95e-e1d5-4fd4-aa3b-d0687b0b3974,4a97422e-ee9e-4ac4-a2c4-c99e1061adab,,,,13000,NGN,paystack,completed,TXN_8DGF3I,false,false,,,"""2025-10-17T22:42:35.007Z"""
6844bebb-816c-4294-83c5-c58d260138df,ce851cd5-17c5-45b4-bfe6-8d477f905812,,,,12000,NGN,paystack,completed,TXN_DOPF2,true,false,,,"""2025-10-17T22:42:35.056Z"""
4996315a-ae62-47cd-b3da-1aa47005206d,fabf3441-b32c-427e-808c-5db23be2ad4b,,,,13000,NGN,paystack,completed,TXN_SSI75D,true,false,,,"""2025-10-17T22:42:35.104Z"""
c5392a01-8628-455a-8846-39993c597ea0,8c51f942-7acf-4701-9d5e-8aaa9c6b0a53,,,,18000,NGN,paystack,completed,TXN_KPDLIT,true,false,,,"""2025-10-17T22:42:35.152Z"""
8b1f64c6-232b-467c-bf5c-512b238fd33e,ce067b33-47de-45dc-b765-eb5d4a2c1c2e,,,,6000,NGN,paystack,completed,TXN_EA3FF2,false,false,,,"""2025-10-17T22:42:35.198Z"""
9d2a8292-fc90-44f0-8763-73c695d8dcdc,c0940933-539d-4429-b9c5-1758ea012129,,,,20000,NGN,paystack,completed,TXN_TW908,true,false,,,"""2025-10-17T22:42:35.245Z"""
cfdcc8d1-903a-4de4-9a25-22c6b46de8db,88fe9cfe-d470-44c1-adb9-ee521ca7e211,,,,5000,NGN,paystack,completed,TXN_MJ4QW,false,false,,,"""2025-10-17T22:42:35.291Z"""
a2884e68-8d83-4dfa-9fb7-196439679259,ec3b26cd-c216-4ce6-abd8-ea38d899c4ec,,,,12000,NGN,paystack,completed,TXN_FTS0JN,false,false,,,"""2025-10-17T22:42:35.338Z"""
0cad60e0-7eba-4970-8cf4-6081cb8651b6,2645082c-dce7-4ce7-8482-1e5a9e172d5f,,,,17000,NGN,paystack,completed,TXN_S9M3XH,true,false,,,"""2025-10-17T22:42:35.384Z"""
a8b534ba-539f-4e16-82ea-298f928be44e,f3673764-2d78-4d87-859b-8f6b3c099bab,,,,500000,NGN,paystack,pending,,false,false,,,"""2025-10-18T07:18:25.990Z"""
665231cc-ddeb-470b-87d7-76cf7e5d36c6,f3673764-2d78-4d87-859b-8f6b3c099bab,,,,100000,NGN,paystack,pending,,false,false,,,"""2025-11-12T20:59:14.682Z"""
3df56057-5201-49f2-bec8-10ab999b55e2,9bf521e1-3889-4269-a33f-af0fe87b352e,Asabe Okeke,asabe.okeke64@yahoo.com,a37200a8-a59f-471f-9e6c-1d194002bac9,20000000,NGN,paystack,completed,PST-F20Q3MKIVA1G,false,false,,,"""2025-11-12T21:30:37.174Z"""
3a2a07d1-b13d-4dfc-940f-06c37084f486,,Anonymous Donor,,a37200a8-a59f-471f-9e6c-1d194002bac9,5000000,NGN,paystack,completed,PST-JYTIR2DQT4OB,true,false,,,"""2025-11-12T21:30:37.174Z"""
c95e0082-79c7-4f75-82cf-5cedf63ec9ae,a2964bce-b387-4949-8f2c-47047f75364c,Ibrahim Adekunle,ibrahim.adekunle158@gmail.com,f904c722-c263-4808-ac35-c29a3554eb19,10000000,NGN,paystack,completed,PST-M928DD68CVHI,false,false,,,"""2025-11-12T21:30:37.174Z"""
135de2f3-6f3f-47dd-a12d-2b8cdd173299,,Anonymous Donor,,f3181149-f0b3-4470-924a-238efda324a7,10000000,NGN,paystack,completed,PST-9OO9CNJVHNA5,true,true,monthly,Keep up the good work! Nigeria needs APC.,"""2025-11-12T21:30:37.174Z"""
b517808d-dbde-408b-9487-dabc58ff80c4,c6841e9b-22a0-4030-9614-b249ac8800a4,Chidi Bello,chidi.bello40@yahoo.com,27c1f2c0-01b0-4557-81ee-9c7d35a0af70,10000000,NGN,paystack,completed,PST-7XKWG3V75DDR,false,false,,Keep up the good work! Nigeria needs APC.,"""2025-11-12T21:30:37.174Z"""
