id,email,firstName,lastName,phone,role,createdAt
078c451d-8381-44cd-a0f6-e1ce2a14471c,godwin@konceptdigital.net,Koncept,Digital,07060961678,member,"""2025-10-17T19:18:50.873Z"""
4e47deed-b50c-47fb-a93e-6b07aa1cdd80,fatima.ogundele12@apc.ng,Fatima,Ogundele,+234 847 185 8547,admin,"""2025-10-17T19:08:24.878Z"""
33a24e91-5f89-4158-8ab3-109b528d9677,usman.anyanwu0@gmail.com,Usman,Anyanwu,08136210808,member,"""2025-11-12T20:21:13.216Z"""
37e673a0-a602-4d0b-82a9-f3bcdff02e4d,chinonso.sadiq1@yahoo.com,Chinonso,Sadiq,09039089530,member,"""2025-11-12T20:21:13.216Z"""
4d707068-2656-4cae-a631-6493df35cc41,olusegun.ogundele2@yahoo.com,Olusegun,Ogundele,09035822111,member,"""2025-11-12T20:21:13.216Z"""
cb8a78af-a754-4a9b-89b3-30e65775cf26,emeka.ali3@gmail.com,Emeka,Ali,08032810245,member,"""2025-11-12T20:21:13.216Z"""
63344b9d-279a-415b-9d6f-4ab04f29c24c,zainab.chukwuemeka4@yahoo.com,Zainab,Chukwuemeka,08068991693,member,"""2025-11-12T20:21:13.216Z"""
875e3f3b-1d34-4f6b-9a19-5127dfb05199,garba.bello5@gmail.com,Garba,Bello,09065500589,member,"""2025-11-12T20:21:13.216Z"""
b65009f3-6f6f-46f2-88e3-7a2736acd6c9,tunde.okoro6@yahoo.com,Tunde,Okoro,09032826947,member,"""2025-11-12T20:21:13.330Z"""
671b93a9-d9a3-4f9b-8fb6-4c6a16b479dc,buhari.chukwuemeka7@yahoo.com,Buhari,Chukwuemeka,08034895258,member,"""2025-11-12T20:21:13.330Z"""
88944ada-b9bf-43b8-bcd1-338893ae0192,adebayo.chinwe8@gmail.com,Adebayo,Chinwe,08138187793,member,"""2025-11-12T20:21:13.330Z"""
bbdac749-e76a-4c2d-8684-d75179ef75bd,bashir.abubakar9@yahoo.com,Bashir,Abubakar,08145340659,member,"""2025-11-12T20:21:13.330Z"""
154b20a7-65fc-4b35-8801-5a4a61c52f2f,ibrahim.sani10@yahoo.com,Ibrahim,Sani,08032265645,member,"""2025-11-12T20:21:13.330Z"""
82981eb6-704f-48f0-bc5c-822a8f244067,adaeze.tijani11@gmail.com,Adaeze,Tijani,08133518402,member,"""2025-11-12T20:21:13.330Z"""
0b856877-cb7c-4bbd-ad64-906a0b22d259,abdullahi.anyanwu12@yahoo.com,Abdullahi,Anyanwu,08139915482,member,"""2025-11-12T20:21:13.418Z"""
164eb01f-950e-4934-b274-57f43a4f171a,funmilayo.suleiman13@gmail.com,Funmilayo,Suleiman,08038658303,member,"""2025-11-12T20:21:13.418Z"""
d2983607-d3f8-48fb-9c39-29992d7e5c37,aishatu.okafor14@yahoo.com,Aishatu,Okafor,07065020258,member,"""2025-11-12T20:21:13.418Z"""
ceebeeb8-cf16-46e7-bae3-a54349d73482,yakubu.anyanwu15@yahoo.com,Yakubu,Anyanwu,08145157120,member,"""2025-11-12T20:21:13.418Z"""
2024743a-3cd4-44ea-a597-517d367f41c7,hadiza.uzor16@yahoo.com,Hadiza,Uzor,09068073253,member,"""2025-11-12T20:21:13.418Z"""
defa1277-ea9a-4c7c-bf08-ad166748e063,agbane6@gmail.com,Admin,User,+234 801 234 5678,admin,"""2025-10-17T19:08:23.420Z"""
9b9aa491-041e-4808-a690-341a9d06f0e7,chiamaka.okonkwo@apc.ng,Chiamaka,Okonkwo,+234 802 345 6789,coordinator,"""2025-10-17T19:08:23.516Z"""
d532b603-5bd5-4e12-b142-b914676f1b39,ibrahim.yusuf@apc.ng,Ibrahim,Yusuf,+234 803 456 7890,coordinator,"""2025-10-17T19:08:23.606Z"""
84de4fde-641f-43d6-ab81-c8921a6bb302,folake.adeyemi@apc.ng,Folake,Adeyemi,+234 804 567 8901,coordinator,"""2025-10-17T19:08:23.699Z"""
541c9bc8-b9d3-4325-a48f-cbf29e580026,ronke.okeke0@apc.ng,Ronke,Okeke,+234 885 862 6380,member,"""2025-10-17T19:08:23.789Z"""
9dfc6daf-8a7b-4326-940d-c6bf2633d215,musa.ibrahim1@apc.ng,Musa,Ibrahim,+234 898 254 1635,member,"""2025-10-17T19:08:23.880Z"""
1d4fa4e0-5b4f-49ca-bc95-5c313a81d15a,amaka.nnamdi2@apc.ng,Amaka,Nnamdi,+234 816 401 9215,member,"""2025-10-17T19:08:23.970Z"""
b16f869f-e183-4348-9aad-71cf8269dc18,obinna.oyedepo3@apc.ng,Obinna,Oyedepo,+234 849 107 8190,member,"""2025-10-17T19:08:24.062Z"""
4c68c674-9561-4f47-bec5-726befac29b6,oge.adekunle4@apc.ng,Oge,Adekunle,+234 824 333 2149,member,"""2025-10-17T19:08:24.151Z"""
ab5b3202-850f-423c-a69a-041b02bea5cc,chigozie.nnamdi5@apc.ng,Chigozie,Nnamdi,+234 847 222 9550,member,"""2025-10-17T19:08:24.243Z"""
